pair_id,fold,dice_a,dice_b,dice_mean,iou_mean,dice_pmax,hd95_a,hd95_b,hd95_mean,dice_oracle,dice_copy
A20_H4__t1_t2,1,0.8829493087557604,0.8293545534924845,0.8845437616387337,0.7929883138564274,0.8274678111587983,2.23606797749979,26.77120134347079,3.0,0.8829493087557604,0.255653883972468
A20_H4__t2_t3,1,0.9255131964809384,0.9195664575014262,0.9313953488372093,0.8715995647442872,0.9245495495495496,2.0,3.484441020371181,2.0,0.9255131964809384,0.0
A21_H7__t1_t2,1,0.9571577847439916,0.937952430196484,0.9552549427679501,0.9143426294820717,0.9435688866293849,1.4142135623730951,2.0,1.4142135623730951,0.9571577847439916,0.2936630602782071
A21_H7__t2_t3,1,0.9472972972972973,0.9389920424403183,0.945260347129506,0.8962025316455696,0.9353363814500326,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.9472972972972973,0.7089452603471295
A22_H3__t1_t2,1,0.928030303030303,0.8640275387263339,0.9057971014492754,0.8278145695364238,0.8625429553264605,1.0,2.23606797749979,1.4142135623730951,0.928030303030303,0.904
A22_H3__t2_t3,1,0.9416195856873822,0.8931698774080561,0.9304029304029304,0.8698630136986302,0.8916083916083916,1.0,1.7363961030678912,1.0,0.9416195856873822,0.7075098814229249
A22_H6__t1_t2,1,0.4278103356419819,0.6513743326082657,0.5872873769024172,0.4157160963244613,0.6407093292212799,20.242279652526612,26.28906322452608,21.212992508701156,0.6513743326082657,0.7512415349887133
A22_H6__t2_t3,1,0.7092636579572447,0.8132212008605515,0.7792096219931272,0.6382828993666432,0.8175636292986206,34.86922562902754,14.366300806333287,18.862745003327763,0.8132212008605515,0.6959349593495935
A23_H4__t1_t2,1,0.5121704457537345,0.2727272727272727,0.41728283932360316,0.263649658758531,0.49295451941803187,58.6002798179715,50.26926311136496,51.13605127836845,0.5121704457537345,0.4597220771079302
A23_H4__t2_t3,1,0.5794480550061223,0.6267553584626755,0.639168765743073,0.4696899583526145,0.5275448117086006,81.23238062773268,36.0,80.21126986071677,0.6267553584626755,0.2556316644304781
